Task,Level,Institution,Exam Type,text_question,text_response,Criteria 0,Criteria 1,Criteria 2,Criteria 3,Criteria 0 AI Score,Criteria 1 AI Score,Criteria 2 AI Score,Criteria 3 AI Score,Criteria 0 Teacher Score,Criteria 1 Teacher Score,Criteria 2 Teacher Score,Criteria 3 Teacher Score
Email,B1,Cambridge,ceq,Your English teacher has asked you to write a story. Your story must begin with the sentence:\n\nI couldn't find my keys anywhere.\n\nWrite your story in about 100 words.,"I couldn,t find my keys anywhere. \nYesterday when i was partying, on the our the goes to my house y don,t see my bag. And before look at my friend with my bag, he tol me and that he was looking for me.\nBut in my bag there were no keys, and i left the party and go to look my keys. After going a loft round, my friends Blanca called me on the phone, and he told me that my keys were in yours ahuse.\nI called my mother and tell what mi keys wen house with Blanca, and she got angry with me, and i went to my home because my mother go to sleep. And the next day my friend gave my keys.",Content,CommunicativeAchievement,Organization,Language,1,1,1,1,0,0,0,0
Story,B1,Cambridge,ceq,Your English teacher has asked you to write a story.\nYour story must begin with the sentence:\n\nI couldn't find my keys anywhere.\n\nWrite your story in about 100 words.,"I couldn,t find my keys anywhere. \nYesterday when i was partying, on the our the goes to my house y don,t see my bag. And before look at my friend with my bag, he tol me and that he was looking for me.\nBut in my bag there were no keys, and i left the party and go to look my keys. After going a loft round, my friends Blanca called me on the phone, and he told me that my keys were in yours ahuse.\nI called my mother and tell what mi keys wen house with Blanca, and she got angry with me, and i went to my home because my mother go to sleep. And the next day my friend gave my keys.",Content,CommunicativeAchievement,Organization,Language,3,3,3,2,0,0,0,0
Email,B1,Cambridge,ceq,"Hi,\nYes, my finals exams went very well. Nice to hear it! How was your marks? All good?\nI think Paris is the best option to travel. You can see the Louvre museum, the Eiffel Tower,... and meny more places to visit; London is well too but is cold and there are many people and I don't like Madrid, I think is more boring than the other places.\nYou can visit the Big Ben, the palace of the queen, the Tower bridge, the natural historical museum,... a lot of places!\nDon't worry, I'm sure you're going to decide on a place in time.\nByee, kisses","Hi,\nYes, my finals exams went very well. Nice to hear it! How was your marks? All good?\nI think Paris is the best option to travel. You can see the Louvre museum, the Eiffel Tower,... and meny more places to visit; London is well too but is cold and there are many people and I don't like Madrid, I think is more boring than the other places.\nYou can visit the Big Ben, the palace of the queen, the Tower bridge, the natural historical museum,... a lot of places!\nDon't worry, I'm sure you're going to decide on a place in time.\nByee, kisses",Content,CommunicativeAchievement,Organization,Language,3,3,3,2,0,0,0,0
Email,B1,Cambridge,ceq,"\nFrom: Pauline\nSubject: Camping trip\nBody: Hi Helen,\nI just had to write to find out how your trip to Wales went. Did you have good weather?\nAre you ready to go camping next week? Have you seen how many activities they offer? They have horse riding, surfing and rock-climbing. Which do you fancy?\nIn the evenings there are musical events, which I’m really looking forward to.\nWhere shall we meet on Saturday morning? Don’t forget we need to leave early.\nSee you on Saturday.\nNotes:\n- Note 1:\n  Note: Tell her\n  Email Part: I just had to write to find out how your trip to Wales went.\n- Note 2:\n  Note: Ask what type\n  Email Part: Which do you fancy?\n- Note 3:\n  Note: Answer her and ask which she prefers\n  Email Part: Did you have good weather?\n- Note 4:\n  Note: Suggest a time and place\n  Email Part: Where shall we meet on Saturday morning? Don’t forget we need to leave early.","Hi Pauline,\nThe weather here is strange, yesterday was raining but today it is sunny and is very hot. I don't know how will be the weather tomorrow.\n\nI see them and my favorite activity is surfing but I like the others activities too, what activity are your favorite?\n\nReally I don't know that, what tipe of music are the events. I like pop, what is your favorite type of music?\n\nOK, I get up of 7 o'clock. What time we meet on Saturday? I forget them and in what place is, I have to tell to my mom now.\n\nI see you on Saturday.",Content,CommunicativeAchievement,Organization,Language,3,3,2,2,0,0,0,0
Email,B1,Cambridge,ceq,Rubric: Your English teacher has asked you to write a story. Your story must begin with the sentence: I couldn't find my keys anywhere. Write your story in about 100 words.,"I couldn't find my keys anywhere, I searched all over my house and found nothing. I went to my grandparents' house and didn't find anything either. Then I thought and said, what is the last thing I did? I remenberd that I was training and before training I stopped by my uncles house and then I thought. I'm going to go now, and indeed the keys were there, I said: thank goodness I found the Keys because my parents were out of the house working and since I couldn't find them I had to wait for them to arrive. What a scare!",Content,CommunicativeAchievement,Organization,Language,5,3,3,3,0,0,0,0
Email,B1,Cambridge,ceq,Rubric: Your English teacher has asked you to write a story. Your story must begin with the sentence: I couldn't find my keys anywhere. Write your story in about 100 words.,"I couldn't find my keys anywere.\nIt all started when I had to go to my english leassons. When I go to chatch the keys, they were not where I left them. And I think my mom was catch them but no, my brother caught them unintentionally (or was he said). \nThe time passed and this happened again and then i began to think what he was going whith my keys, because he didn't have. One day i put a camera in the hall and you don't know what i found out. My brothe has a girlfriend and he meet whith her without saying anything! Incredible\nI will continue...",Content,CommunicativeAchievement,Organization,Language,3,3,2,2,0,0,0,0
Email,B1,Cambridge,ceq,"\nRubric: You must answer this question. Write your answer in about 100 words on the answer sheet.\n\nTo: \nFrom: Ms Taylor\nSubject: New cooking club\nBody: Hi\n\nThanks for contacting me about my new club. My idea is to help you improve your English while you learn to cook delicious food!\n\nCould you please let me know if you’ve cooked much before?\n\nWe could cook foods from English-speaking countries, or we could all bring our favourite recipes from home. What do you think would be better?\n\nAre there any foods that we should avoid? I want to choose things that everybody can enjoy eating!\n\nBest wishes,\nMs Taylor\n\nNotes:\n- Note 1:\n  Note: Great!\n  Email Part: Thanks for contacting me about my new club. My idea is to help you improve your English while you learn to cook delicious food!\n- Note 2:\n  Note: Give Ms Taylor details\n  Email Part: Could you please let me know if you’ve cooked much before?\n- Note 3:\n  Note: Suggest\n  Email Part: What do you think would be better?\n- Note 4:\n  Note: Explain\n  Email Part: Are there any foods that we should avoid? I want to choose things that everybody can enjoy eating!","Hi:\nI am very interested for your new club. Is a good idea learn\nEnglish while you are cooking a lot of foods.\n\nI like cook. When my parents aren't be in my house\nI cook the dinner for me and my brother. Sometime\nI help to recarnated the lunch on the dinner to my\nmother.\n\nIs a good idea prepare foods from English-Speaking,\nbut I think is a better idea prepare foods of all the\ncountries of the word. There are a lots of\ntipes of food!\n\nI think is a good idea invented a new dessert.\nLike pankekes with a lot of fruits. For example:\nstrawberryes , pinecattle , attle , bananas ...\n\nbye, bye.\nJosé",Content,CommunicativeAchievement,Organization,Language,3,3,2,2,0,0,0,0
Email,B1,Cambridge,ceq,"\nRubric: You must answer this question. Write your answer in about 100 words on the answer sheet.\n\nTo: \nFrom: Ms Taylor\nSubject: New cooking club\nBody: Hi\n\nThanks for contacting me about my new club. My idea is to help you improve your English while you learn to cook delicious food!\n\nCould you please let me know if you've cooked much before?\n\nWe could cook foods from English-speaking countries, or we could all bring our favourite recipes from home. What do you think would be better?\n\nAre there any foods that we should avoid? I want to choose things that everybody can enjoy eating!\n\nBest wishes,\nMs Taylor\n\nNotes:\n- Note 1:\n  Note: Great!\n  Email Part: Thanks for contacting me about my new club.\n- Note 2:\n  Note: Give Ms Taylor details\n  Email Part: Could you please let me know if you've cooked much before?\n- Note 3:\n  Note: Suggest\n  Email Part: What do you think would be better?\n- Note 4:\n  Note: Explain\n  Email Part: Are there any foods that we should avoid? I want to choose things that everybody can enjoy eating!","Hello!\n\nYou're welcome, I really like youre idea because i need to learn how to coock becaus, I can't buy good everyday after work.\n\nI cook the basic to live alone but I'm bored of sandwiches, cereals with milk, pasta... because I always cook/buy the same food all time and I want to change a bit.\n\nI think is better english recipes because the club is in english and we can learn the culture of many countrys that talk in english and I think is more interesting than normal recipes like rice, chicken, fish..\n\nI don't like cheese and some vegetables or fruit, I don't like the flavour of tomatoes and oranges.\n\nBYE!\nJimena",Content,CommunicativeAchievement,Organisation,Language,5,3,3,2,0,0,0,0
Email,B1,Cambridge,ceq,\nRubric: You must answer this question. Write your answer in 140-190 words in an appropriate style.\n\nIn your English class you have been discussing holidays in schools and colleges. Now your English teacher has asked you to write an essay.\n\nWrite an essay using all the notes and give reasons for your point of view.\n\nNotes: \n1. which is better for learning\n2. leisure activities in the holidays\n3. .................................................. (your own idea),"Should students have a long summer holiday or terms be longer?\n\nNowadays in Europe all the students have holidays at summer.For having fun, relax and be prepare for the next course.At least here in Spain we have those months of holidays while the other countries have one month less like for example France.And in Australia the holidays are in unite since is devided the course.\n\nLearning everyday is a good habit for be energetic and almacanate more things in your head which will be important for the future however it can burned your head and need a break of a few days.Having a long summer holiday are too many days of resting.So when we are having the next course we won’t have any more practice or study so we should look forward for it.While having holidays by terms, we won’t be tired and the chip of studying which is in our brains won’t have desapear.\n\nAt summer is the station where you can do more activities becuase the weather is perfect for this, outside is perfect to visit places and have holidays. In this station you can do a lot of marines activities,running,etc.. Moreover travelling around the world since the countries whose are know by their cold weather, is good for visited.Nevertheless having holidays by terms can be difficult for travelling and do activities because the holydays are divided around the year and do not the same activities that usually are made in summer.So you have less flexibility at the time of do things which need a good weather.\n\nTo sump up the essay about the differents about having a long summer or having it by terms. I prefer having a long summer becuase it gives you a liberity and have a good rest.For me in terms is worst because are a few every month ,therebefore are the same number of holidays.I like more to finish the course and Have fun until the next one.",Content,Communicative Achievement,Organisation,Language,4,2,2,2,0,0,0,0
Essay,B2,Cambridge,ceq,Rubric: You must answer this question. Write your answer in 140-190 words in an appropriate style.\n\nIn your English class you have been discussing holidays in schools and colleges. Now your English teacher has asked you to write an essay.\n\nWrite an essay using all the notes and give reasons for your point of view.\n\nBody: Should students have a long summer holiday or should terms be longer?\n\nNotes:\n- Note 1: \n  Note: which is better for learning\n  Email Part: (related to the essay question)\n- Note 2: \n  Note: leisure activities in the holidays\n  Email Part: (related to the essay question)\n- Note 3: \n  Note: .............................................. (your own idea)\n  Email Part: (related to the essay question),"SHOULD STUDENTS HAVE A LONG SUMMER HOLIDAY OR SHOULD TERMS BE LONGER ?\n\n\n\nIn some countries in the world, like Spain they have a long holiday vacation or in some countries like Australia they prefer to give students not a very long time of vacation but having more than one. So, what is a better idea for the learning of the students ? a long summer holiday or more than one but much shorter ?\n\nFirst of all, we have to know that in the countries with multiple holidays they have longer terms, so the students spend more time in class learning, however the countries with a long summer vacation have a large period of time to rest and that helps a lot, although the school year is shorter. But the countries with shorter holidays, having more days of school, they also have more time to learn with a good rythm all the things.\n\nNow we are going to talk about leisure activities in the holidays, because if you have all the holiday time together like in Spain, you can do a large trip in family, or spend more time visiting a relative, in Australia, despite having more holidays they are two weeks long, so you can not stay with a relative or in a place too much time, but you can visit them more times in the year.\n\nFinally we can talk about hobbies, because if you have shorter and more frecuent holidays you can find easer to take an habit of your new hobby, if you have all the holiday time together then you can progress more with that hobby but when you go back to the routine can be difficult to put that activity in you routine.\n\nTo sum up having more and shorter holidays is better for students because they can learn everything with less stress because they have more time, but the best for relax spend time with friends, family or in a trip, the best option is all the vacation time together in one holiday. And depending if you are a more or less productive person you can have less time to find a hobby but more facilities to implement it to your routine, or having a lot of time to find and practice that hobby, but being more difficult to add it to your school schedule.",Content,CommunicativeAchievement,Organisation,Language,5,3,3,3,0,0,0,0
Email,B1,Cambridge,ceq,You must answer this question. Write your answer in 140-190 words in an appropriate style.\n\n1 In your English class you have been discussing holidays in schools and colleges. Now your English teacher has asked you to write an essay.\n\nWrite an essay using all the notes and give reasons for your point of view.\n\nShould students have a long summer holiday or should terms be longer?\n\nNotes\nWrite about:\n\n1 which is better for learning\n2 leisure activities in the holidays\n3 ............................................... (your own idea),"¿SHOULD STUDENTS HAVE A LONG SUMMER HOLIDAY?\n\nNowadays, lot of people think about having more holidays than before, this is because of the necessity of having some breaks between the intense work, where they usually get stressed. However this increase of vacation could get them more damage than they think \n\nFirstly, on school they teach you about lots of different knowledge asMaths, science English, etc. You should understand and memorize,due to the fact that your objective is to pass all with great marks. In addition alonger vacation will affect all you have learned, as long as,you do not practice in your free time.\n\nMoreover, the summer holidays are the longest, where you do not have anything for being worried about, that is why, all the students have a lot of free time, that they could spend on everything, as long as, they do not make any ilegal activity. They could go to the beach, to a party and also having nothing else to do.\n\nNevertheless, having shorter holidays could improve the way students can learn and manage their stress and bigger issues. In additons to valorate get better moments with the people they meet because it is shorter\n\nTo sum up, having shorter holidays would help students to be more focus on their responsabilities, and their leisure activities\n\n",Content,CommunicativeAchievement,Organisation,Language,3,2,2,2,0,0,0,0
Essay,B2,Cambridge,ceq,You must answer this question. Write your answer in 140-190 words in an appropriate style.\n\n1 In your English class you have been discussing holidays in schools and colleges. Now your English teacher has asked you to write an essay.\n\nWrite an essay using all the notes and give reasons for your point of view.\n\nShould students have a long summer holiday or should terms be longer?\n\nNotes\nWrite about:\n\n1 which is better for learning\n2 leisure activities in the holidays\n3 .................................................... (your own idea),"¿SHOULD STUDENTS HAVE A LONG SUMMER HOLIDAY?\n\nNowadays, lot of ppeople think about having more holidays than before, this is because of the necessity of having some breaks between the intense work, where they usually get stressed. However this increase of vacation could get them more damage than they think\n\nFirstly, on school they teach you about lots of different knowledge asMaths, science English, etc. You should understand and memorize,due to the fact that your objective is to pass all with great marks. In addition alonger vication will affect all you have learned, as long as,you do not practice in your free time.\n\nMoreover, the summer holidays are the longest, where you do not have anything for being worried about, that is why, all the students have a lot of free time, that they could spend on everything, as long as, they do not make any ilegal activity. They could go to the beach, to a party and also having nothing else to do.\n\nNevertheless, having shorter holidays could improve the way students can learn and manage their stress and bigger issues. In addtions to valorate get better moments with the people they meet because it is shorter\n\nTo sum up, having shorter holidays would help students to be more focus on their responsabilities, and their leisure activities\n\nHéctor Maruenda Gómez",Content,Communicative Achievement,Organisation,Language,5,3,3,2,0,0,0,0
Email,B1,Cambridge,ceq,"Why I Love my hobby\n\nHi to everyone, today I will talk about why I love my hobby, firstable I'm from Gouche Nord, I'm from Spain and I love so to the gym, Also do you like so to gym?\n\nMuch peode that I meet with a physical chase because they don't see with healty or esthetic physic, however they don't know how do start and time later people leave it, nevertheless when you easy go there, you frindis hard and in the fure you see litte or bis chaises as time so by you feel a happines and saw I love it.\n\nTo sum up I easy so to gym because I meet new peope, you do sport to make a healthy body and from my point of view is one of the best hobbies by reans of you will see better in the fure. Ho then time ago","Why I Love my hobby\n\nHi to everyone, today I will talk about why I love my hobby, firstable I'm from Gouche Nord, I'm from Spain and I love so to the gym, Also do you like so to gym?\n\nMuch peode that I meet with a physical chase because they don't see with healty or esthetic physic, however they don't know how do start and time later people leave it, nevertheless when you easy go there, you frindis hard and in the fure you see litte or bis chaises as time so by you feel a happines and saw I love it.\n\nTo sum up I easy so to gym because I meet new peope, you do sport to make a healthy body and from my point of view is one of the best hobbies by reans of you will see better in the fure. Ho then time ago",Content,CommunicativeAchievement,Organisation,Language,1,1,1,1,0,0,0,0
